timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
2337,0.007,0.393,1.223,23.655,-232.972,-75.585
2470,0.029,0.262,1.451,62.656,-237.855,-140.710
2506,0.187,0.310,0.907,55.576,-129.761,-49.340
2538,0.194,0.321,0.845,39.036,-61.402,-27.062
2571,0.113,0.470,0.799,2.231,107.116,12.305
2604,0.046,0.370,0.772,-27.249,150.268,53.321
2637,-0.027,0.355,0.798,-77.908,324.157,81.458
2671,-0.229,0.439,0.890,-93.472,439.453,75.721
2706,-0.185,0.314,1.188,-87.429,210.937,61.072
2739,-0.095,0.389,1.327,-61.367,103.698,53.382
2818,0.113,0.333,1.145,-25.845,-85.755,-15.099
2851,0.011,0.316,0.978,-32.925,-104.371,-40.978
2883,-0.121,0.272,1.043,-29.141,-108.033,-54.711
2915,-0.226,0.056,1.154,-22.854,-85.694,-43.176
2947,-0.207,0.004,1.104,-45.010,-28.748,-15.466
2980,-0.124,0.113,1.068,-49.709,-35.645,-5.212
3060,-0.071,0.016,1.064,-44.949,12.084,1.319
3092,-0.055,0.103,1.000,-44.033,-6.043,0.403
3124,0.015,-0.016,1.098,-41.104,-10.560,1.197
3157,0.079,-0.134,1.285,36.777,99.914,-23.705
3189,-0.040,0.120,1.006,-52.822,11.291,3.272
3222,-0.075,0.109,1.015,-24.441,40.038,-4.540
3255,-0.126,0.046,1.066,-9.426,58.532,-10.644
3344,-0.074,0.031,1.073,-7.717,-26.246,-0.756
3376,-0.093,0.007,1.023,-13.088,-34.424,4.066
3408,-0.082,-0.020,0.994,-6.191,-37.049,1.441
3441,-0.045,-0.050,1.378,-20.046,148.132,-9.484
3474,-0.172,0.089,0.852,-12.844,-40.894,-4.052
3507,-0.076,0.016,1.177,-1.125,109.741,-14.611
3539,-0.066,-0.032,0.918,-25.845,29.479,0.648
3623,-0.140,-0.021,0.976,-12.783,31.494,-18.945
3656,-0.234,-0.040,1.009,-16.140,33.203,-19.311
3689,-0.176,-0.058,0.990,-11.868,21.179,-14.306
3722,-0.197,-0.075,0.970,-7.412,28.259,-11.315
3755,-0.263,-0.071,0.991,-5.703,14.099,-10.156
3788,-0.205,-0.069,1.027,-4.604,2.136,-6.921
3820,-0.219,-0.073,0.995,-2.896,12.145,-6.616
3903,-0.190,-0.084,1.013,-3.262,-0.855,-0.939
3936,-0.249,-0.067,1.031,-1.492,13.671,-1.733
3968,-0.194,-0.078,0.971,-0.576,1.037,0.709
4000,-0.198,-0.076,1.000,-0.271,-2.320,0.709
4032,-0.205,-0.075,1.007,-0.393,5.615,0.953
4064,-0.201,-0.075,0.994,0.156,3.723,0.587
4097,-0.200,-0.073,0.993,-0.515,1.769,0.953
4179,-0.205,-0.076,0.998,-0.393,2.014,0.831
4211,-0.206,-0.076,0.996,-0.332,2.441,0.770
4243,-0.202,-0.075,0.998,0.034,2.319,0.770
4275,-0.206,-0.078,0.998,-0.332,2.258,0.709
4308,-0.206,-0.079,0.995,-0.210,1.891,0.770
4341,-0.206,-0.077,0.996,-0.332,2.136,0.709
4374,-0.210,-0.074,0.997,-0.149,2.075,0.709
4456,-0.211,-0.076,0.996,0.095,2.014,0.648
4488,-0.209,-0.074,0.994,-0.027,2.014,0.648
4520,-0.212,-0.076,0.996,-0.332,1.830,0.709
4553,-0.210,-0.077,0.997,-0.393,2.014,0.770
4586,-0.208,-0.078,0.999,0.156,1.953,0.587
4619,-0.212,-0.075,0.996,-0.271,1.953,0.709
4651,-0.216,-0.073,0.995,0.034,1.647,0.709
4728,-0.216,-0.083,0.998,0.217,1.281,1.075
4760,-0.211,-0.086,1.002,-0.088,0.549,0.648
4793,-0.214,-0.075,0.994,0.156,2.990,0.648
4826,-0.210,-0.084,0.997,-0.332,1.953,0.464
4858,-0.216,-0.075,0.995,-0.149,1.891,0.648
4890,-0.213,-0.080,1.000,-0.027,1.769,0.587
4923,-0.212,-0.077,0.995,-0.027,2.197,0.709
5008,-0.211,-0.082,0.995,0.034,1.586,0.648
5041,-0.215,-0.077,0.995,-0.088,1.830,0.709
5073,-0.215,-0.079,0.997,-0.088,1.708,0.648
5105,-0.215,-0.079,0.997,-0.210,1.708,0.526
5139,-0.214,-0.078,0.997,-0.271,1.708,0.770
5171,-0.218,-0.077,0.997,-0.210,1.647,0.587
5205,-0.214,-0.078,0.999,-0.149,1.708,0.648
5286,-0.215,-0.077,0.997,-0.027,1.647,0.648
5318,-0.218,-0.078,0.997,-0.149,1.647,0.709
5351,-0.217,-0.081,0.999,0.034,1.281,0.648
5384,-0.216,-0.076,0.997,-0.027,1.708,0.587
5416,-0.213,-0.078,1.000,-0.088,2.197,0.464
5449,-0.219,-0.078,0.997,-0.332,1.769,0.709
5528,-0.214,-0.082,0.997,-0.332,1.403,0.648
5561,-0.215,-0.078,0.998,-0.027,0.915,0.709
5594,-0.215,-0.080,1.000,-0.088,1.708,0.648
5626,-0.221,-0.078,0.995,-0.210,1.830,0.648
5658,-0.216,-0.079,0.996,0.034,1.647,0.587
5690,-0.217,-0.075,0.996,-0.210,1.464,0.648
5722,-0.218,-0.076,0.994,-0.088,1.342,0.648
5799,-0.299,-1.042,1.669,-189.785,-4.639,-253.442
5833,-0.866,-0.307,1.202,92.258,35.766,-196.923
5865,-0.337,-0.261,1.210,103.733,93.810,-46.227
5897,0.041,-0.238,1.156,145.481,92.651,-86.083
5929,-0.312,-0.066,1.073,161.960,-47.425,-158.959
5961,-0.656,0.191,0.828,138.035,-35.340,-111.291
5993,-0.104,0.182,1.206,109.531,-2.686,-54.894
6070,-0.382,0.540,0.441,76.755,72.082,-67.651
6104,-0.502,0.649,0.392,12.180,41.747,-55.322
6136,-0.430,0.580,0.583,-57.949,52.612,-47.265
6168,-0.740,0.508,0.631,-94.631,22.582,-37.377
6200,-0.975,0.333,1.023,-129.238,11.962,24.207
6232,-0.492,0.083,1.206,-127.651,12.878,60.279
6264,-0.542,0.026,1.368,-119.290,20.812,78.345
6349,-0.696,-0.046,1.461,-13.821,103.881,160.499
6382,-0.661,-0.017,1.072,-9.426,89.965,205.359
6414,-0.467,-0.111,1.786,-13.455,101.379,208.961
6446,-0.774,-0.075,1.587,161.411,124.511,236.793
6478,-0.466,0.035,1.142,171.055,116.760,208.228
6510,-0.688,0.206,1.206,139.072,125.549,154.639
6542,-1.092,0.386,1.149,172.336,131.530,147.315
6623,-1.065,0.751,0.817,118.015,108.398,84.937
6655,-1.005,0.740,0.657,162.998,141.784,135.596
6687,-0.651,0.858,0.283,120.151,79.528,97.449
6719,-0.790,0.956,0.175,54.294,42.846,45.142
6751,-0.532,0.918,0.053,26.523,8.788,5.836
6783,-0.517,0.904,0.061,-43.972,-60.914,-58.557
6815,-0.546,0.756,0.071,-131.741,-167.115,-119.775
6896,-0.694,0.271,1.110,-314.724,-455.750,-130.334
